"true_match_num","version_a","version_b","unigrams_bill_in_law","bigrams_bill_in_law","trigrams_bill_in_law","fourgrams_bill_in_law","tengrams_bill_in_law","twentygrams_bill_in_law","wdiff_bill_in_law","sw1","sw5","sw10","sw15","sw20","true_match_num2"
1,"111-HR-409-RH","111-HR-146-ENR",0.98,0.71,0.52,0.41,0.12,0.01,0.21,0.713,0.244,0.244,0.083,0.083,0
4,"111-HR-488-IH","111-HR-146-ENR",1,0.71,0.65,0.62,0.48,0.18,0.61,0.757,0.622,0.622,0.622,0.622,1
1,"111-HR-5416-IH","111-HR-146-ENR",0.96,0.71,0.51,0.39,0.09,0.02,0.25,0.296,0.089,0.06,0.06,0.06,0
4,"111-S-135-IS","111-HR-146-ENR",1,0.71,0.65,0.62,0.48,0.18,0.61,0.757,0.622,0.622,0.622,0.622,1
1,"111-S-3185-IS","111-HR-146-ENR",0.96,0.71,0.51,0.39,0.09,0.02,0.25,0.296,0.089,0.06,0.06,0.06,0
1,"111-HR-5334-IH","111-HR-146-ENR",0.95,0.7,0.52,0.38,0.06,0,0.13,0.209,0.058,0.061,0.044,0.038,0
1,"111-S-874-IS","111-HR-146-ENR",0.96,0.7,0.52,0.38,0.06,0,0.14,0.216,0.059,0.062,0.045,0.056,0
3,"111-HR-405-IH","111-HR-146-ENR",0.94,0.69,0.52,0.46,0.27,0.18,0.3,0.357,0.343,0.343,0.343,0.343,1
1,"111-S-1689-IS","111-HR-146-ENR",0.95,0.69,0.5,0.37,0.07,0.01,0.17,0.048,0.045,0.033,0.033,0.033,0
4,"111-HR-383-IH","111-HR-146-ENR",1,0.68,0.55,0.4,0.21,0,0.45,0.471,0.471,0.471,0.471,0.471,1
1,"111-HR-3923-RH","111-HR-146-ENR",0.95,0.68,0.47,0.34,0.07,0,0.16,0.075,0.07,0.05,0.05,0.05,0
1,"111-S-2963-IS","111-HR-146-ENR",0.95,0.68,0.53,0.42,0.12,0.03,0.17,0.317,0.275,0.158,0.057,0.057,0
1,"111-S-3470-IS","111-HR-146-ENR",0.93,0.68,0.47,0.36,0.05,0,0.2,0.815,0.17,0.17,0.17,0.17,0
1,"111-S-555-RS","111-HR-146-ENR",0.95,0.68,0.47,0.34,0.07,0,0.16,0.075,0.07,0.05,0.05,0.05,0
1,"111-HR-5039-IH","111-HR-146-ENR",0.97,0.67,0.51,0.4,0.08,0,0.24,0.677,0.222,0.131,0.131,0.131,0
1,"111-HR-5800-IH","111-HR-146-ENR",0.97,0.67,0.42,0.3,0.12,0,0.36,0.37,0.19,0.19,0.19,0.19,0
1,"111-S-3616-IS","111-HR-146-ENR",0.97,0.67,0.42,0.3,0.12,0,0.36,0.37,0.19,0.19,0.19,0.19,0
1,"111-HR-4579-IH","111-HR-146-ENR",0.96,0.66,0.4,0.28,0.12,0.02,0.28,0.687,0.198,0.198,0.198,0.198,0
1,"111-HR-5911-IH","111-HR-146-ENR",0.96,0.66,0.37,0.22,0,0,0.42,0.341,0.275,0.275,0.209,0.209,0
1,"111-S-1571-IS","111-HR-146-ENR",0.97,0.66,0.43,0.3,0.04,0,0.24,0.424,0.192,0.192,0.192,0.192,0
1,"111-HR-1043-RS","111-HR-146-ENR",0.96,0.65,0.43,0.32,0.05,0,0.32,0.465,0.139,0.139,0.139,0.139,0
1,"111-HR-2330-IH","111-HR-146-ENR",0.99,0.65,0.47,0.38,0.18,0.05,0.23,0.277,0.272,0.272,0.272,0.272,0
1,"111-S-1418-IS","111-HR-146-ENR",0.99,0.65,0.47,0.38,0.18,0.05,0.23,0.277,0.272,0.272,0.272,0.272,0
1,"111-S-1573-IS","111-HR-146-ENR",0.98,0.65,0.44,0.31,0.03,0,0.29,0.488,0.14,0.14,0.14,0.14,0
3,"111-S-170-IS","111-HR-146-ENR",0.95,0.65,0.51,0.45,0.28,0.15,0.1,0.727,0.231,0.144,0.144,0.144,1
2,"111-S-218-IS","111-HR-146-ENR",0.97,0.65,0.41,0.29,0.02,0,0.2,0.082,0.06,0.046,0.046,0.046,0
1,"111-S-2976-IS","111-HR-146-ENR",0.96,0.65,0.44,0.31,0.05,0,0.14,0.292,0.071,0.053,0.053,0.053,0
3,"111-HR-328-IH","111-HR-146-ENR",0.95,0.64,0.54,0.51,0.37,0.26,0.2,0.429,0.386,0.386,0.386,0.386,1
1,"111-HR-4726-IH","111-HR-146-ENR",0.99,0.64,0.43,0.33,0.1,0.02,0.2,0.442,0.143,0.143,0.143,0.143,0
1,"111-HR-2079-IH","111-HR-146-ENR",0.93,0.63,0.36,0.27,0.08,0,0.24,0.738,0.107,0.107,0.107,0.107,0
1,"111-HR-3113-IH","111-HR-146-ENR",0.95,0.63,0.39,0.28,0.1,0,0.24,0.323,0.12,0.12,0.12,0.12,0
1,"111-HR-715-IH","111-HR-146-ENR",0.96,0.63,0.36,0.21,0.03,0,0.26,0.137,0.13,0.11,0.11,0.11,0
1,"111-S-1629-RS","111-HR-146-ENR",0.96,0.63,0.41,0.32,0.09,0.01,0.19,0.161,0.146,0.146,0.146,0.146,0
1,"111-S-871-IS","111-HR-146-ENR",0.93,0.63,0.36,0.27,0.08,0,0.24,0.738,0.107,0.107,0.107,0.107,0
1,"111-S-1369-IS","111-HR-146-ENR",0.98,0.62,0.34,0.25,0.05,0,0.31,0.212,0.138,0.138,0.138,0.138,0
1,"111-HR-455-IH","111-HR-146-ENR",0.96,0.61,0.44,0.38,0.28,0.13,0.2,0.427,0.354,0.354,0.354,0.354,0
1,"111-HR-5219-IH","111-HR-146-ENR",0.98,0.61,0.37,0.28,0.07,0,0.33,0.311,0.176,0.176,0.176,0.176,0
1,"111-S-3313-IS","111-HR-146-ENR",0.98,0.61,0.37,0.28,0.07,0,0.33,0.311,0.176,0.176,0.176,0.176,0
1,"111-HR-325-IH","111-HR-146-ENR",0.93,0.6,0.39,0.27,0.04,0,0.29,0.709,0.172,0.172,0.172,0.172,0
1,"111-HR-3378-IH","111-HR-146-ENR",0.93,0.6,0.45,0.37,0.1,0,0.26,0.82,0.461,0.461,0.461,0.461,0
1,"111-HR-3989-RH","111-HR-146-ENR",0.99,0.6,0.36,0.27,0.08,0.01,0.15,0.144,0.131,0.131,0.131,0.131,0
1,"111-HR-4558-IH","111-HR-146-ENR",0.95,0.6,0.35,0.22,0.02,0,0.14,0.282,0.05,0.05,0.05,0.05,0
1,"111-S-2722-RS","111-HR-146-ENR",0.99,0.6,0.36,0.27,0.08,0.01,0.15,0.144,0.131,0.131,0.131,0.131,0
1,"111-S-349-IS","111-HR-146-ENR",0.91,0.6,0.48,0.41,0.24,0.19,0.12,0.675,0.318,0.207,0.207,0.207,0
